皮革装备声音,item.armor.equip_leather
方块：无权限,block.false_permissions
萤火虫：嗡嗡,block.firefly_bush.ambient
熔炉：噼啪作响,block.furnace.lit
砂轮：使用,block.grindstone.use
物品展示框：填充,block.itemframe.add_item
物品展示框：被破坏,block.itemframe.break
物品展示框：被放置,block.itemframe.place
物品展示框：清空,block.itemframe.remove_item
物品展示框：转动,block.itemframe.rotate_item
灯笼：被破坏,block.lantern.break
灯笼：某物摔落,block.lantern.fall
灯笼：损坏中,block.lantern.hit
灯笼：被放置,block.lantern.place
灯笼：被踩上,block.lantern.step
织布机：使用,block.loom.use
红树根：被破坏,block.mangrove_roots.break
红树根：某物摔落,block.mangrove_roots.fall
红树根：损坏中,block.mangrove_roots.hit
红树根：被放置,block.mangrove_roots.place
红树根：被踩上,block.mangrove_roots.step
刷怪笼：被破坏,block.mob_spawner.break
刷怪笼：被踩上,block.mob_spawner.step
泥巴：被破坏,block.mud.break
泥巴：某物摔落,block.mud.fall
泥巴：损坏中,block.mud.hit
泥巴：被放置,block.mud.place
泥巴：被踩上,block.mud.step
泥砖：被破坏,block.mud_bricks.break
泥砖：某物摔落,block.mud_bricks.fall
泥砖：损坏中,block.mud_bricks.hit
泥砖：被放置,block.mud_bricks.place
泥砖：被踩上,block.mud_bricks.step
沾泥的红树根：被破坏,block.muddy_mangrove_roots.break
沾泥的红树根：某物摔落,block.muddy_mangrove_roots.fall
沾泥的红树根：损坏中,block.muddy_mangrove_roots.hit
沾泥的红树根：被放置,block.muddy_mangrove_roots.place
沾泥的红树根：被踩上,block.muddy_mangrove_roots.step
泥坯：被破坏,block.packed_mud.break
泥坯：某物摔落,block.packed_mud.fall
泥坯：损坏中,block.packed_mud.hit
泥坯：被放置,block.packed_mud.place
泥坯：被踩上,block.packed_mud.step
怪异的噪声,block.pale_hanging_moss.ambient
树脂块：被破坏,block.resin.break
树脂块：某物摔落,block.resin.fall
树脂块：损坏中,block.resin.hit
树脂块：被放置,block.resin.place
树脂块：被踩上,block.resin.step
树脂砖：被破坏,block.resin_brick.break
树脂砖：某物摔落,block.resin_brick.fall
树脂砖：损坏中,block.resin_brick.hit
树脂砖：被放置,block.resin_brick.place
树脂砖：被踩上,block.resin_brick.step
沙沙声,block.sand.ambient
脚手架：被破坏,block.scaffolding.break
脚手架：被攀爬,block.scaffolding.climb
脚手架：某物摔落,block.scaffolding.fall
脚手架：损坏中,block.scaffolding.hit
脚手架：被放置,block.scaffolding.place
脚手架：被踩上,block.scaffolding.step
展示架：激活,block.shelf.activate
展示架：取消激活,block.shelf.deactivate
物品：交换,block.shelf.multi_swap
物品：放置,block.shelf.place_item
物品：交换,block.shelf.single_swap
告示牌：晃动,block.sign.waxed_interact_fail
烟熏炉：烟熏,block.smoker.smoke
嗅探兽蛋：裂开,block.sniffer_egg.crack
嗅探兽蛋：孵化,block.sniffer_egg.hatch
切石机：使用,block.stonecutter.use
甜浆果丛：被破坏,block.sweet_berry_bush.break
甜浆果丛：造成伤害,block.sweet_berry_bush.hurt
浆果：弹出,block.sweet_berry_bush.pick
甜浆果丛：被放置,block.sweet_berry_bush.place
海龟蛋：破裂,block.turtle_egg.break
海龟蛋：裂开,block.turtle_egg.crack
海龟：产卵,block.turtle_egg.drop
垂泪藤：被破坏,block.weeping_vines.break
垂泪藤：某物摔落,block.weeping_vines.fall
垂泪藤：损坏中,block.weeping_vines.hit
垂泪藤：某物跳跃,block.weeping_vines.jump
垂泪藤：某物着陆,block.weeping_vines.land
垂泪藤：被放置,block.weeping_vines.place
垂泪藤：被踩上,block.weeping_vines.step
垂泪藤：被使用,block.weeping_vines.use
幽匿催发体：催发,bloom.sculk_catalyst
龙息：被装起,bottle.dragonbreath
玻璃瓶：倒空,bottle.empty
玻璃瓶：装满,bottle.fill
紫水晶块：被破坏,break.amethyst_block
紫水晶簇：被破坏,break.amethyst_cluster
杜鹃花丛：被破坏,break.azalea
竹子：被破坏,break.bamboo_wood
悬挂式竹告示牌：被破坏,break.bamboo_wood_hanging_sign
大型垂滴叶：被破坏,break.big_dripleaf
方解石：被破坏,break.calcite
樱花树叶：被破坏,break.cherry_leaves
樱花木：被破坏,break.cherry_wood
悬挂式樱花木告示牌：被破坏,break.cherry_wood_hanging_sign
雕纹书架：被破坏,break.chiseled_bookshelf
铜灯：被破坏,break.copper_bulb
铜格栅：被破坏,break.copper_grate
饰纹陶罐：被破坏,break.decorated_pot
缠根泥土：被破坏,break.dirt_with_roots
滴水石块：被破坏,break.dripstone_block
青蛙卵：被破坏,break.frog_spawn
蛙明灯：被破坏,break.froglight
垂根：被破坏,break.hanging_roots
悬挂式告示牌：被破坏,break.hanging_sign
沉重核心：被破坏,break.heavy_core
铁质方块：被破坏,break.iron
大型紫晶芽：被破坏,break.large_amethyst_bud
中型紫晶芽：被破坏,break.medium_amethyst_bud
下界木头：被破坏,break.nether_wood
悬挂式下界木告示牌：被破坏,break.nether_wood_hanging_sign
粉红色花簇：被破坏,break.pink_petals
滴水石锥：被破坏,break.pointed_dripstone
幽匿块：被破坏,break.sculk
幽匿催发体：被破坏,break.sculk_catalyst
幽匿感测体：被破坏,break.sculk_sensor
幽匿尖啸体：被破坏,break.sculk_shrieker
幽匿脉络：被破坏,break.sculk_vein
小型紫晶芽：被破坏,break.small_amethyst_bud
海绵：被破坏,break.sponge
孢子花：被破坏,break.spore_blossom
可疑的沙砾：被破坏,break.suspicious_gravel
可疑的沙子：被破坏,break.suspicious_sand
凝灰岩：被破坏,break.tuff
蜘蛛网：被破坏,break.web
湿海绵：被破坏,break.wet_sponge
风弹：爆裂,breeze_wind_charge.burst
刷子：刷扫中,brush.generic
刷子：刷扫沙砾中,brush.suspicious_gravel
刷子：刷扫沙子中,brush.suspicious_sand
刷子：刷扫沙砾完毕,brush_completed.suspicious_gravel
刷子：刷扫沙子完毕,brush_completed.suspicious_sand
气泡：旋转,bubble.down
气泡：骤降,bubble.downinside
气泡：破裂,bubble.pop
气泡：上浮,bubble.up
气泡：飞升,bubble.upinside
鱼：被倒出,bucket.empty_fish
铁桶：倒空熔岩,bucket.empty_lava
铁桶：倒空细雪,bucket.empty_powder_snow
铁桶：倒空水,bucket.empty_water
鱼：被捕获,bucket.fill_fish
铁桶：装满熔岩,bucket.fill_lava
铁桶：装满细雪,bucket.fill_powder_snow
铁桶：装满水,bucket.fill_water
收纳袋：倒空,bundle.drop_contents
物品：装入袋中,bundle.insert
收纳袋：已满,bundle.insert_fail
物品：从袋中取出,bundle.remove_one
蛋糕：吧唧,cake.add_candle
摄像机：拍照,camera.take_picture
炼药锅：染色,cauldron.adddye
炼药锅：洗去皮革盔甲的颜色,cauldron.cleanarmor
炼药锅：洗去旗帜的一层图案,cauldron.cleanbanner
炼药锅：对皮革盔甲染色,cauldron.dyearmor
炼药锅：爆炸,cauldron.explode
炼药锅：装入药水,cauldron.fillpotion
炼药锅：装入水,cauldron.fillwater
炼药锅：取出药水,cauldron.takepotion
炼药锅：取出水,cauldron.takewater
熔岩：滴入炼药锅,cauldron_drip.lava.pointed_dripstone
水：滴入炼药锅,cauldron_drip.water.pointed_dripstone
幽匿块：冒泡,charge.sculk
紫水晶：叮铃,chime.amethyst_block
竹按钮：弹起,click_off.bamboo_wood_button
竹压力板：弹起,click_off.bamboo_wood_pressure_plate
樱花木按钮：弹起,click_off.cherry_wood_button
樱花木压力板：弹起,click_off.cherry_wood_pressure_plate
测重压力板：弹起,click_off.metal_pressure_plate
下界木按钮：弹起,click_off.nether_wood_button
下界木压力板：弹起,click_off.nether_wood_pressure_plate
石头压力板：弹起,click_off.stone_pressure_plate
木质压力板：弹起,click_off.wooden_pressure_plate
竹按钮：压下,click_on.bamboo_wood_button
竹压力板：压下,click_on.bamboo_wood_pressure_plate
樱花木按钮：压下,click_on.cherry_wood_button
樱花木压力板：压下,click_on.cherry_wood_pressure_plate
测重压力板：压下,click_on.metal_pressure_plate
下界木按钮：压下,click_on.nether_wood_button
下界木压力板：压下,click_on.nether_wood_pressure_plate
石头压力板：压下,click_on.stone_pressure_plate
木质压力板：压下,click_on.wooden_pressure_plate
竹门：关闭,close.bamboo_wood_door
竹栅栏门：关闭,close.bamboo_wood_fence_gate
竹栅栏门：关闭,close.bamboo_wood_trapdoor
樱花木门：关闭,close.cherry_wood_door
樱花木栅栏门：关闭,close.cherry_wood_fence_gate
樱花木活板门：关闭,close.cherry_wood_trapdoor
栅栏门：关闭,close.fence_gate
铁门：关闭,close.iron_door
铁活板门：关闭,close.iron_trapdoor
下界木门：关闭,close.nether_wood_door
下界木栅栏门：关闭,close.nether_wood_fence_gate
下界木活板门：关闭,close.nether_wood_trapdoor
木门：关闭,close.wooden_door
木质活板门：关闭,close.wooden_trapdoor
铜门：关闭,close_door.copper
实体：跳跃,component.jump_to_block
潮涌核心：激活,conduit.activate
潮涌核心：涌动,conduit.ambient
潮涌核心：攻击,conduit.attack
潮涌核心：失效,conduit.deactivate
潮涌核心：附加音效,conduit.short
脱蜡,copper.wax.off
涂蜡,copper.wax.on
合成器：合成,crafter.craft
合成器：槽位被禁用,crafter.disable_slot
合成器：合成失败,crafter.fail
弩：装填,crossbow.loading.end
弩：持续蓄力,crossbow.loading.middle
弩：蓄力,crossbow.loading.start
弩：装填（快速装填）,crossbow.quick_charge.end
弩：持续蓄力（快速装填）,crossbow.quick_charge.middle
弩：蓄力（快速装填）,crossbow.quick_charge.start
弩：发射,crossbow.shoot
某物：着地,damage.fallbig
某物：摔倒,damage.fallsmall
荆棘：反刺,damage.thorns
远古残骸：被破坏,dig.ancient_debris
杜鹃树叶：被破坏,dig.azalea_leaves
玄武岩：被破坏,dig.basalt
骨块：被破坏,dig.bone_block
蜡烛：被破坏,dig.candle
洞穴藤蔓：被破坏,dig.cave_vines
锁链：被破坏,dig.chain
布质方块：被破坏,dig.cloth
铜块：被破坏,dig.copper
珊瑚：被破坏,dig.coral
深板岩：被破坏,dig.deepslate
深板岩砖：被破坏,dig.deepslate_bricks
下界菌：被破坏,dig.fungus
草：被破坏,dig.grass
沙砾：被破坏,dig.gravel
蜂蜜块：被破坏,dig.honey_block
磁石：被破坏,dig.lodestone
苔藓：被破坏,dig.moss
下界砖：被破坏,dig.nether_brick
下界金矿石：被破坏,dig.nether_gold_ore
下界苗：被破坏,dig.nether_sprouts
下界疣：被破坏,dig.nether_wart
下界合金块：被破坏,dig.netherite
下界岩：被破坏,dig.netherrack
菌岩：被破坏,dig.nylium
细雪：被破坏,dig.powder_snow
菌索：被破坏,dig.roots
沙子：被破坏,dig.sand
菌光体：被破坏,dig.shroomlight
雪块：被破坏,dig.snow
灵魂沙：被破坏,dig.soul_sand
灵魂土：被破坏,dig.soul_soil
菌柄：被破坏,dig.stem
石头：被破坏,dig.stone
藤蔓：被破坏,dig.vines
木头：被破坏,dig.wood
熔岩：滴落,drip.lava.pointed_dripstone
水：滴落,drip.water.pointed_dripstone
呼啸声,elytra.loop
溅起水花,entity.generic.splash
凋灵骷髅：咯咯声,entity.wither_skeleton.ambient
凋灵骷髅：死亡,entity.wither_skeleton.death
凋灵骷髅：受伤,entity.wither_skeleton.hurt
凋灵骷髅：行走,entity.wither_skeleton.step
僵尸：转化为溺尸,entity.zombie.converted_to_drowned
蜡烛：熄灭,extinguish.candle
紫水晶块：某物摔落,fall.amethyst_block
紫水晶簇：某物摔落,fall.amethyst_cluster
远古残骸：某物摔落,fall.ancient_debris
杜鹃花丛：某物摔落,fall.azalea
杜鹃树叶：某物摔落,fall.azalea_leaves
竹子：某物摔落,fall.bamboo_wood
玄武岩：某物摔落,fall.basalt
大型垂滴叶：某物摔落,fall.big_dripleaf
骨块：某物摔落,fall.bone_block
方解石：某物摔落,fall.calcite
洞穴藤蔓：某物摔落,fall.cave_vines
锁链：某物摔落,fall.chain
樱花树叶：某物摔落,fall.cherry_leaves
樱花木：某物摔落,fall.cherry_wood
布质方块：某物摔落,fall.cloth
铜块：某物摔落,fall.copper
铜灯：某物摔落,fall.copper_bulb
珊瑚：某物摔落,fall.coral
深板岩：某物摔落,fall.deepslate
深板岩砖：某物摔落,fall.deepslate_bricks
缠根泥土：某物摔落,fall.dirt_with_roots
滴水石块：某物摔落,fall.dripstone_block
海龟蛋：被踩踏,fall.egg
草：某物摔落,fall.grass
沙砾：某物摔落,fall.gravel
垂根：某物摔落,fall.hanging_roots
蜂蜜块：某物摔落,fall.honey_block
梯子：某物摔落,fall.ladder
苔藓：某物摔落,fall.moss
下界砖：某物摔落,fall.nether_brick
下界金矿石：某物摔落,fall.nether_gold_ore
下界苗：某物摔落,fall.nether_sprouts
下界疣：某物摔落,fall.nether_wart
下界木头：某物摔落,fall.nether_wood
下界合金块：某物摔落,fall.netherite
下界岩：某物摔落,fall.netherrack
菌岩：某物摔落,fall.nylium
粉红色花簇：某物摔落,fall.pink_petals
滴水石锥：某物摔落,fall.pointed_dripstone
细雪：某物摔落,fall.powder_snow
菌索：某物摔落,fall.roots
沙子：某物摔落,fall.sand
幽匿感测体：某物摔落,fall.sculk_sensor
幽匿尖啸体：某物摔落,fall.sculk_shrieker
菌光体：某物摔落,fall.shroomlight
黏液块：某物摔落,fall.slime
雪块：某物摔落,fall.snow
灵魂沙：某物摔落,fall.soul_sand
灵魂土：某物摔落,fall.soul_soil
孢子花：某物摔落,fall.spore_blossom
菌柄：某物摔落,fall.stem
石头：某物摔落,fall.stone
凝灰岩：某物摔落,fall.tuff
藤蔓：某物摔落,fall.vines
木头：某物摔落,fall.wood
火：噼啪作响,fire.fire
打火石：点火,fire.ignite
烟花：爆裂,firework.blast
烟花火箭：强烈爆炸,firework.large_blast
烟花火箭：升空,firework.launch
烟花：发射,firework.shoot
烟花：闪烁,firework.twinkle
暴击,game.player.attack.critical
玩家：轻击,game.player.attack.nodamage
玩家：重击,game.player.attack.strong
玩家：死亡,game.player.die
玩家：受伤,game.player.hurt
蝌蚪：孵化,hatch.frog_spawn
紫水晶块：损坏中,hit.amethyst_block
紫水晶簇：损坏中,hit.amethyst_cluster
远古残骸：损坏中,hit.ancient_debris
铁砧：损坏中,hit.anvil
杜鹃花丛：损坏中,hit.azalea
杜鹃树叶：损坏中,hit.azalea_leaves
竹子：损坏中,hit.bamboo_wood
玄武岩：损坏中,hit.basalt
大型垂滴叶：损坏中,hit.big_dripleaf
骨块：损坏中,hit.bone_block
方解石：损坏中,hit.calcite
蜡烛：损坏中,hit.candle
洞穴藤蔓：损坏中,hit.cave_vines
锁链：损坏中,hit.chain
樱花树叶：损坏中,hit.cherry_leaves
樱花木：损坏中,hit.cherry_wood
雕纹书架：损坏中,hit.chiseled_bookshelf
布质方块：损坏中,hit.cloth
铜块：损坏中,hit.copper
铜灯：损坏中,hit.copper_bulb
珊瑚：损坏中,hit.coral
深板岩：损坏中,hit.deepslate
深板岩砖：损坏中,hit.deepslate_bricks
缠根泥土：损坏中,hit.dirt_with_roots
滴水石块：损坏中,hit.dripstone_block
草：损坏中,hit.grass
沙砾：损坏中,hit.gravel
垂根：损坏中,hit.hanging_roots
蜂蜜块：损坏中,hit.honey_block
铁质方块：损坏中,hit.iron
梯子：损坏中,hit.ladder
苔藓：损坏中,hit.moss
下界砖：损坏中,hit.nether_brick
下界金矿石：损坏中,hit.nether_gold_ore
下界苗：损坏中,hit.nether_sprouts
下界疣：损坏中,hit.nether_wart
下界木头：损坏中,hit.nether_wood
下界合金块：损坏中,hit.netherite
下界岩：损坏中,hit.netherrack
菌岩：损坏中,hit.nylium
粉红色花簇：损坏中,hit.pink_petals
滴水石锥：损坏中,hit.pointed_dripstone
细雪：损坏中,hit.powder_snow
菌索：损坏中,hit.roots
沙子：损坏中,hit.sand
幽匿块：损坏中,hit.sculk
幽匿催发体：损坏中,hit.sculk_catalyst
幽匿感测体：损坏中,hit.sculk_sensor
幽匿尖啸体：损坏中,hit.sculk_shrieker
菌光体：损坏中,hit.shroomlight
黏液块：损坏中,hit.slime
雪块：损坏中,hit.snow
灵魂沙：损坏中,hit.soul_sand
灵魂土：损坏中,hit.soul_soil
海绵：损坏中,hit.sponge
孢子花：损坏中,hit.spore_blossom
菌柄：损坏中,hit.stem
石头：损坏中,hit.stone
可疑的沙砾：损坏中,hit.suspicious_gravel
可疑的沙子：损坏中,hit.suspicious_sand
凝灰岩：损坏中,hit.tuff
藤蔓：损坏中,hit.vines
湿海绵：损坏中,hit.wet_sponge
木头：损坏中,hit.wood
山羊角：吹奏“沉思”,horn.call.0
山羊角：吹奏“歌颂”,horn.call.1
山羊角：吹奏“寻觅”,horn.call.2
山羊角：吹奏“感受”,horn.call.3
山羊角：吹奏“仰慕”,horn.call.4
山羊角：吹奏“呼唤”,horn.call.5
山羊角：吹奏“憧憬”,horn.call.6
山羊角：吹奏“想象”,horn.call.7
氧气值：减少,hud.bubble.pop
鹦鹉：嘶~,imitate.fuse
书：被放入,insert.chiseled_bookshelf
附魔书：被放入,insert_enchanted.chiseled_bookshelf
骨粉：沙沙作响,item.bone_meal.use
书页：沙沙作响,item.book.page_turn
书：放置,item.book.put
盾牌：格挡,item.shield.block
矛：戳刺,item.spear.attack_hit
矛：戳刺,item.spear.attack_miss
矛：击中,item.spear.hit
持矛冲锋,item.spear.use
望远镜：缩小,item.spyglass.stop_using
望远镜：放大,item.spyglass.use
三叉戟：突刺,item.trident.hit
三叉戟：振动,item.trident.hit_ground
三叉戟：收回,item.trident.return
三叉戟：突进（激流I）,item.trident.riptide_1
三叉戟：突进（激流II）,item.trident.riptide_2
三叉戟：突进（激流III）,item.trident.riptide_3
三叉戟：铿锵,item.trident.throw
三叉戟：电闪雷鸣,item.trident.thunder
远古残骸：某物跳跃,jump.ancient_debris
杜鹃花丛：某物跳跃,jump.azalea
玄武岩：某物跳跃,jump.basalt
大型垂滴叶：某物跳跃,jump.big_dripleaf
骨块：某物跳跃,jump.bone_block
洞穴藤蔓：某物跳跃,jump.cave_vines
锁链：某物跳跃,jump.chain
布质方块：某物跳跃,jump.cloth
珊瑚：某物跳跃,jump.coral
深板岩：某物跳跃,jump.deepslate
深板岩砖：某物跳跃,jump.deepslate_bricks
缠根泥土：某物跳跃,jump.dirt_with_roots
滴水石块：某物跳跃,jump.dripstone_block
草：某物跳跃,jump.grass
沙砾：某物跳跃,jump.gravel
垂根：某物跳跃,jump.hanging_roots
蜂蜜块：某物跳跃,jump.honey_block
苔藓：某物跳跃,jump.moss
下界砖：某物跳跃,jump.nether_brick
下界金矿石：某物跳跃,jump.nether_gold_ore
下界苗：某物跳跃,jump.nether_sprouts
下界疣：某物跳跃,jump.nether_wart
下界合金块：某物跳跃,jump.netherite
下界岩：某物跳跃,jump.netherrack
菌岩：某物跳跃,jump.nylium
滴水石锥：某物跳跃,jump.pointed_dripstone
菌索：某物跳跃,jump.roots
沙子：某物跳跃,jump.sand
幽匿感测体：某物跳跃,jump.sculk_sensor
菌光体：某物跳跃,jump.shroomlight
黏液块：某物跳跃,jump.slime
雪块：某物跳跃,jump.snow
灵魂沙：某物跳跃,jump.soul_sand
灵魂土：某物跳跃,jump.soul_soil
孢子花：某物跳跃,jump.spore_blossom
菌柄：某物跳跃,jump.stem
石头：某物跳跃,jump.stone
藤蔓：某物跳跃,jump.vines
木头：某物跳跃,jump.wood
远古残骸：某物着陆,land.ancient_debris
杜鹃花丛：某物着陆,land.azalea
玄武岩：某物着陆,land.basalt
大型垂滴叶：某物着陆,land.big_dripleaf
骨块：某物着陆,land.bone_block
洞穴藤蔓：某物着陆,land.cave_vines
锁链：某物着陆,land.chain
布质方块：某物着陆,land.cloth
珊瑚：某物着陆,land.coral
深板岩：某物着陆,land.deepslate
深板岩砖：某物着陆,land.deepslate_bricks
缠根泥土：某物着陆,land.dirt_with_roots
滴水石块：某物着陆,land.dripstone_block
草：某物着陆,land.grass
沙砾：某物着陆,land.gravel
垂根：某物着陆,land.hanging_roots
蜂蜜块：某物着陆,land.honey_block
苔藓：某物着陆,land.moss
下界砖：某物着陆,land.nether_brick
下界金矿石：某物着陆,land.nether_gold_ore
下界苗：某物着陆,land.nether_sprouts
下界疣：某物着陆,land.nether_wart
下界合金块：某物着陆,land.netherite
下界岩：某物着陆,land.netherrack
菌岩：某物着陆,land.nylium
滴水石锥：某物着陆,land.pointed_dripstone
菌索：某物着陆,land.roots
沙子：某物着陆,land.sand
幽匿感测体：某物着陆,land.sculk_sensor
菌光体：某物着陆,land.shroomlight
黏液块：某物着陆,land.slime
雪块：某物着陆,land.snow
灵魂沙：某物着陆,land.soul_sand
灵魂土：某物着陆,land.soul_soil
孢子花：某物着陆,land.spore_blossom
菌柄：某物着陆,land.stem
石头：某物着陆,land.stone
藤蔓：某物着陆,land.vines
木头：某物着陆,land.wood
拴绳：断开,lead.break
拴绳结：被破坏,leashknot.break
拴绳结：被系上,leashknot.place
熔岩：翻滚,liquid.lava
熔岩：迸裂,liquid.lavapop
水：流动,liquid.water
磁石指针：绑定磁石,lodestone_compass.link_compass_to_lodestone
重锤：猛击,mace.heavy_smash_ground
重锤：猛击,mace.smash_air
重锤：猛击,mace.smash_ground
矿车：行进,minecart.base
矿车：哐啷作响,minecart.inside
智能体：生成,mob.agent.spawn
悦灵：死亡,mob.allay.death
悦灵：受伤,mob.allay.hurt
悦灵：渴求,mob.allay.idle
悦灵：搜寻,mob.allay.idle_holding
悦灵：嬉笑,mob.allay.item_given
悦灵：愉悦,mob.allay.item_taken
悦灵：投掷,mob.allay.item_thrown
犰狳：呼噜,mob.armadillo.ambient
鳞甲：被刷落,mob.armadillo.brush
犰狳：死亡,mob.armadillo.death
犰狳：进食,mob.armadillo.eat
犰狳：受伤,mob.armadillo.hurt
犰狳：自卫,mob.armadillo.hurt_reduced
犰狳：着陆,mob.armadillo.land
犰狳：窥视,mob.armadillo.peek
犰狳：蜷缩,mob.armadillo.roll
犰狳：脱落鳞甲,mob.armadillo.scute_drop
犰狳：爬行,mob.armadillo.step
犰狳：伸展,mob.armadillo.unroll_finish
犰狳：窥视,mob.armadillo.unroll_start
盔甲架：被破坏,mob.armor_stand.break
盔甲架：损坏中,mob.armor_stand.hit
盔甲架：某物着陆,mob.armor_stand.land
盔甲架：被放置,mob.armor_stand.place
美西螈：攻击,mob.axolotl.attack
美西螈：死亡,mob.axolotl.death
美西螈：受伤,mob.axolotl.hurt
美西螈：啾啾,mob.axolotl.idle
美西螈：啾啾,mob.axolotl.idle_water
美西螈：溅起水花,mob.axolotl.splash
美西螈：游泳,mob.axolotl.swim
幼年鹦鹉螺：啾啾,mob.baby_nautilus.ambient
幼年鹦鹉螺：啾啾,mob.baby_nautilus.ambient.in.water
幼年鹦鹉螺：死亡,mob.baby_nautilus.death
幼年鹦鹉螺：死亡,mob.baby_nautilus.death.in.water
幼年鹦鹉螺：进食,mob.baby_nautilus.eat
幼年鹦鹉螺：受伤,mob.baby_nautilus.hurt
幼年鹦鹉螺：受伤,mob.baby_nautilus.hurt.in.water
幼年鹦鹉螺：游泳,mob.baby_nautilus.swim
蝙蝠：死亡,mob.bat.death
蝙蝠：受伤,mob.bat.hurt
蝙蝠：尖声叫,mob.bat.idle
蝙蝠：起飞,mob.bat.takeoff
蜜蜂：愤怒地嗡嗡叫,mob.bee.aggressive
