金合欢木按钮, acacia_button
蓝色带釉陶瓦, blue_glazed_terracotta
蓝冰, blue_ice
兰花, blue_orchid
蓝色潜影盒, blue_shulker_box
蓝色染色玻璃, blue_stained_glass
蓝色染色玻璃板, blue_stained_glass_pane
蓝色陶瓦, blue_terracotta
蓝色羊毛, blue_wool
骨块, bone_block
书架, bookshelf
边界, border_block
脑纹珊瑚, brain_coral
脑纹珊瑚块, brain_coral_block
脑纹珊瑚扇, brain_coral_fan
墙上的脑纹珊瑚扇, brain_coral_wall_fan
酿造台, brewing_stand
红砖块, brick_block
红砖双层台阶, brick_double_slab
红砖台阶, brick_slab
红砖楼梯, brick_stairs
红砖墙, brick_wall
棕色蜡烛, brown_candle
插上棕色蜡烛的蛋糕, brown_candle_cake
棕色地毯, brown_carpet
棕色混凝土, brown_concrete
棕色混凝土粉末, brown_concrete_powder
棕色带釉陶瓦, brown_glazed_terracotta
棕色蘑菇, brown_mushroom
棕色蘑菇方块, brown_mushroom_block
棕色潜影盒, brown_shulker_box
棕色染色玻璃, brown_stained_glass
棕色染色玻璃板, brown_stained_glass_pane
棕色陶瓦, brown_terracotta
棕色羊毛, brown_wool
气泡柱, bubble_column
气泡珊瑚, bubble_coral
气泡珊瑚块, bubble_coral_block
气泡珊瑚扇, bubble_coral_fan
墙上的气泡珊瑚扇, bubble_coral_wall_fan
紫水晶母岩, budding_amethyst
灌木丛, bush
仙人掌, cactus
仙人掌花, cactus_flower
蛋糕, cake
方解石, calcite
校频幽匿感测体, calibrated_sculk_sensor
营火, campfire
蜡烛, candle
插上蜡烛的蛋糕, candle_cake
胡萝卜, carrots
制图台, cartography_table
雕刻南瓜, carved_pumpkin
炼药锅, cauldron
洞穴藤蔓, cave_vines
洞穴藤蔓, cave_vines_body_with_berries
洞穴藤蔓, cave_vines_head_with_berries
连锁型命令方块, chain_command_block
樱花木按钮, cherry_button
樱花木门, cherry_door
樱花木双层台阶, cherry_double_slab
樱花木栅栏, cherry_fence
樱花木栅栏门, cherry_fence_gate
悬挂式樱花木告示牌, cherry_hanging_sign
樱花树叶, cherry_leaves
樱花原木, cherry_log
樱花木板, cherry_planks
樱花木压力板, cherry_pressure_plate
樱花树苗, cherry_sapling
樱花木展示架, cherry_shelf
樱花木台阶, cherry_slab
樱花木楼梯, cherry_stairs
樱花木告示牌, cherry_standing_sign
樱花木活板门, cherry_trapdoor
墙上的樱花木告示牌, cherry_wall_sign
樱花木, cherry_wood
箱子, chest
开裂的铁砧, chipped_anvil
雕纹书架, chiseled_bookshelf
雕纹铜块, chiseled_copper
雕纹深板岩, chiseled_deepslate
雕纹下界砖块, chiseled_nether_bricks
雕纹磨制黑石, chiseled_polished_blackstone
雕纹石英块, chiseled_quartz_block
雕纹红砂岩, chiseled_red_sandstone
雕纹树脂砖块, chiseled_resin_bricks
雕纹砂岩, chiseled_sandstone
雕纹石砖, chiseled_stone_bricks
雕纹凝灰岩, chiseled_tuff
雕纹凝灰岩砖, chiseled_tuff_bricks
紫颂花, chorus_flower
紫颂植株, chorus_plant
黏土, clay
闭合的眼眸花, closed_eyeblossom
煤炭块, coal_block
煤矿石, coal_ore
砂土, coarse_dirt
深板岩圆石, cobbled_deepslate
深板岩圆石双层台阶, cobbled_deepslate_double_slab
深板岩圆石台阶, cobbled_deepslate_slab
深板岩圆石楼梯, cobbled_deepslate_stairs
深板岩圆石墙, cobbled_deepslate_wall
圆石, cobblestone
圆石双层台阶, cobblestone_double_slab
圆石台阶, cobblestone_slab
圆石墙, cobblestone_wall
可可果, cocoa
命令方块, command_block
堆肥桶, composter
潮涌核心, conduit
铜栏杆, copper_bars
铜块, copper_block
铜灯, copper_bulb
铜链, copper_chain
铜箱子, copper_chest
铜门, copper_door
铜傀儡像, copper_golem_statue
铜格栅, copper_grate
铜灯笼, copper_lantern
铜矿石, copper_ore
铜火把, copper_torch
铜活板门, copper_trapdoor
矢车菊, cornflower
裂纹深板岩砖, cracked_deepslate_bricks
裂纹深板岩瓦, cracked_deepslate_tiles
裂纹下界砖块, cracked_nether_bricks
裂纹磨制黑石砖, cracked_polished_blackstone_bricks
裂纹石砖, cracked_stone_bricks
合成器, crafter
工作台, crafting_table
嘎枝之心, creaking_heart
苦力怕的头, creeper_head
绯红木按钮, crimson_button
绯红木门, crimson_door
绯红木双层台阶, crimson_double_slab
绯红木栅栏, crimson_fence
绯红木栅栏门, crimson_fence_gate
绯红菌, crimson_fungus
悬挂式绯红木告示牌, crimson_hanging_sign
绯红菌核, crimson_hyphae
绯红菌岩, crimson_nylium
绯红木板, crimson_planks
绯红木压力板, crimson_pressure_plate
绯红菌索, crimson_roots
绯红木展示架, crimson_shelf
绯红木台阶, crimson_slab
绯红木楼梯, crimson_stairs
绯红木告示牌, crimson_standing_sign
绯红菌柄, crimson_stem
绯红木活板门, crimson_trapdoor
墙上的绯红木告示牌, crimson_wall_sign
哭泣的黑曜石, crying_obsidian
切制铜块, cut_copper
切制铜台阶, cut_copper_slab
切制铜楼梯, cut_copper_stairs
切制红砂岩, cut_red_sandstone
切制红砂岩双层台阶, cut_red_sandstone_double_slab
切制红砂岩台阶, cut_red_sandstone_slab
切制砂岩, cut_sandstone
切制砂岩双层台阶, cut_sandstone_double_slab
切制砂岩台阶, cut_sandstone_slab
青色蜡烛, cyan_candle
插上青色蜡烛的蛋糕, cyan_candle_cake
青色地毯, cyan_carpet
青色混凝土, cyan_concrete
青色混凝土粉末, cyan_concrete_powder
青色带釉陶瓦, cyan_glazed_terracotta
青色潜影盒, cyan_shulker_box
青色染色玻璃, cyan_stained_glass
青色染色玻璃板, cyan_stained_glass_pane
青色陶瓦, cyan_terracotta
青色羊毛, cyan_wool
损坏的铁砧, damaged_anvil
蒲公英, dandelion
深色橡木按钮, dark_oak_button
深色橡木门, dark_oak_door
深色橡木双层台阶, dark_oak_double_slab
深色橡木栅栏, dark_oak_fence
深色橡木栅栏门, dark_oak_fence_gate
悬挂式深色橡木告示牌, dark_oak_hanging_sign
深色橡树树叶, dark_oak_leaves
深色橡木原木, dark_oak_log
深色橡木木板, dark_oak_planks
深色橡木压力板, dark_oak_pressure_plate
深色橡树树苗, dark_oak_sapling
深色橡木展示架, dark_oak_shelf
深色橡木台阶, dark_oak_slab
深色橡木楼梯, dark_oak_stairs
深色橡木活板门, dark_oak_trapdoor
深色橡木, dark_oak_wood
暗海晶石, dark_prismarine
暗海晶石双层台阶, dark_prismarine_double_slab
暗海晶石台阶, dark_prismarine_slab
暗海晶石楼梯, dark_prismarine_stairs
深色橡木告示牌, darkoak_standing_sign
墙上的深色橡木告示牌, darkoak_wall_sign
阳光探测器, daylight_detector
反向阳光探测器, daylight_detector_inverted
失活的脑纹珊瑚, dead_brain_coral
失活的脑纹珊瑚块, dead_brain_coral_block
失活的脑纹珊瑚扇, dead_brain_coral_fan
墙上的失活脑纹珊瑚扇, dead_brain_coral_wall_fan
失活的气泡珊瑚, dead_bubble_coral
失活的气泡珊瑚块, dead_bubble_coral_block
失活的气泡珊瑚扇, dead_bubble_coral_fan
墙上的失活气泡珊瑚扇, dead_bubble_coral_wall_fan
失活的火珊瑚, dead_fire_coral
失活的火珊瑚块, dead_fire_coral_block
失活的火珊瑚扇, dead_fire_coral_fan
墙上的失活火珊瑚扇, dead_fire_coral_wall_fan
失活的鹿角珊瑚, dead_horn_coral
失活的鹿角珊瑚块, dead_horn_coral_block
失活的鹿角珊瑚扇, dead_horn_coral_fan
墙上的失活鹿角珊瑚扇, dead_horn_coral_wall_fan
失活的管珊瑚, dead_tube_coral
失活的管珊瑚块, dead_tube_coral_block
失活的管珊瑚扇, dead_tube_coral_fan
墙上的失活管珊瑚扇, dead_tube_coral_wall_fan
枯萎的灌木, deadbush
饰纹陶罐, decorated_pot
深板岩, deepslate
深板岩砖双层台阶, deepslate_brick_double_slab
深板岩砖台阶, deepslate_brick_slab
深板岩砖楼梯, deepslate_brick_stairs
深板岩砖墙, deepslate_brick_wall
深板岩砖, deepslate_bricks
深层煤矿石, deepslate_coal_ore
深层铜矿石, deepslate_copper_ore
深层钻石矿石, deepslate_diamond_ore
深层绿宝石矿石, deepslate_emerald_ore
深层金矿石, deepslate_gold_ore
深层铁矿石, deepslate_iron_ore
深层青金石矿石, deepslate_lapis_ore
深层红石矿石, deepslate_redstone_ore
深板岩瓦双层台阶, deepslate_tile_double_slab
深板岩瓦台阶, deepslate_tile_slab
深板岩瓦楼梯, deepslate_tile_stairs
深板岩瓦墙, deepslate_tile_wall
深板岩瓦, deepslate_tiles
拒绝方块, deny
探测铁轨, detector_rail
钻石块, diamond_block
钻石矿石, diamond_ore
闪长岩, diorite
闪长岩双层台阶, diorite_double_slab
闪长岩台阶, diorite_slab
闪长岩楼梯, diorite_stairs
闪长岩墙, diorite_wall
泥土, dirt
缠根泥土, dirt_with_roots
发射器, dispenser
切制铜双层台阶, double_cut_copper_slab
龙蛋, dragon_egg
龙首, dragon_head
失水恶魂, dried_ghast
干海带块, dried_kelp_block
滴水石块, dripstone_block
投掷器, dropper
绿宝石块, emerald_block
绿宝石矿石, emerald_ore
附魔台, enchanting_table
末地石砖楼梯, end_brick_stairs
末地石砖, end_bricks
末地传送门, end_portal
末地传送门框架, end_portal_frame
末地烛, end_rod
末地石, end_stone
末地石砖双层台阶, end_stone_brick_double_slab
末地石砖台阶, end_stone_brick_slab
末地石砖墙, end_stone_brick_wall
末影箱, ender_chest
斑驳的雕纹铜块, exposed_chiseled_copper
斑驳的铜块, exposed_copper
斑驳的铜栏杆, exposed_copper_bars
斑驳的铜灯, exposed_copper_bulb
斑驳的铜链, exposed_copper_chain
斑驳的铜箱子, exposed_copper_chest
斑驳的铜门, exposed_copper_door
斑驳的铜傀儡像, exposed_copper_golem_statue
斑驳的铜格栅, exposed_copper_grate
斑驳的铜灯笼, exposed_copper_lantern
斑驳的铜活板门, exposed_copper_trapdoor
斑驳的切制铜块, exposed_cut_copper
斑驳的切制铜台阶, exposed_cut_copper_slab
斑驳的切制铜楼梯, exposed_cut_copper_stairs
斑驳的切制铜双层台阶, exposed_double_cut_copper_slab
斑驳的避雷针, exposed_lightning_rod
耕地, farmland
橡木栅栏门, fence_gate
蕨, fern
火, fire
火珊瑚, fire_coral
火珊瑚块, fire_coral_block
火珊瑚扇, fire_coral_fan
墙上的火珊瑚扇, fire_coral_wall_fan
萤火虫灌木丛, firefly_bush
制箭台, fletching_table
花盆, flower_pot
盛开的杜鹃花丛, flowering_azalea
流动熔岩, flowing_lava
流动水, flowing_water
物品展示框, frame
青蛙卵, frog_spawn
霜冰, frosted_ice
熔炉, furnace
镶金黑石, gilded_blackstone
玻璃, glass
玻璃板, glass_pane
荧光物品展示框, glow_frame
发光地衣, glow_lichen
荧石, glowstone
金块, gold_block
金矿石, gold_ore
动力铁轨, golden_rail
花岗岩, granite
花岗岩双层台阶, granite_double_slab
花岗岩台阶, granite_slab
花岗岩楼梯, granite_stairs
花岗岩墙, granite_wall
草方块, grass_block
土径, grass_path
沙砾, gravel
灰色蜡烛, gray_candle
插上灰色蜡烛的蛋糕, gray_candle_cake
灰色地毯, gray_carpet
灰色混凝土, gray_concrete
灰色混凝土粉末, gray_concrete_powder
灰色带釉陶瓦, gray_glazed_terracotta
灰色潜影盒, gray_shulker_box
灰色染色玻璃, gray_stained_glass
灰色染色玻璃板, gray_stained_glass_pane
灰色陶瓦, gray_terracotta
灰色羊毛, gray_wool
绿色蜡烛, green_candle
插上绿色蜡烛的蛋糕, green_candle_cake
绿色地毯, green_carpet
绿色混凝土, green_concrete
绿色混凝土粉末, green_concrete_powder
绿色带釉陶瓦, green_glazed_terracotta
绿色潜影盒, green_shulker_box
绿色染色玻璃, green_stained_glass
绿色染色玻璃板, green_stained_glass_pane
绿色陶瓦, green_terracotta
绿色羊毛, green_wool
砂轮, grindstone
垂根, hanging_roots
陶瓦, hardened_clay
干草捆, hay_block
沉重核心, heavy_core
重质测重压力板, heavy_weighted_pressure_plate
蜂蜜块, honey_block
蜜脾块, honeycomb_block
漏斗, hopper
鹿角珊瑚, horn_coral
鹿角珊瑚块, horn_coral_block
鹿角珊瑚扇, horn_coral_fan
墙上的鹿角珊瑚扇, horn_coral_wall_fan
冰, ice
虫蚀雕纹石砖, infested_chiseled_stone_bricks
虫蚀圆石, infested_cobblestone
虫蚀裂纹石砖, infested_cracked_stone_bricks
虫蚀深板岩, infested_deepslate
虫蚀苔石砖, infested_mossy_stone_bricks
虫蚀石头, infested_stone
虫蚀石砖, infested_stone_bricks
铁栏杆, iron_bars
铁块, iron_block
铁链, iron_chain
铁门, iron_door
铁矿石, iron_ore
铁活板门, iron_trapdoor
拼图方块, jigsaw
唱片机, jukebox
丛林木按钮, jungle_button
丛林木门, jungle_door
丛林木双层台阶, jungle_double_slab
丛林木栅栏, jungle_fence
丛林木栅栏门, jungle_fence_gate
悬挂式丛林木告示牌, jungle_hanging_sign
丛林树叶, jungle_leaves
丛林原木, jungle_log
丛林木板, jungle_planks
丛林木压力板, jungle_pressure_plate
丛林树苗, jungle_sapling
丛林木展示架, jungle_shelf
丛林木台阶, jungle_slab
丛林木楼梯, jungle_stairs
丛林木告示牌, jungle_standing_sign
丛林木活板门, jungle_trapdoor
墙上的丛林木告示牌, jungle_wall_sign
丛林木, jungle_wood
海带, kelp
梯子, ladder
灯笼, lantern
青金石块, lapis_block
青金石矿石, lapis_ore
大型紫晶芽, large_amethyst_bud
大型蕨, large_fern
熔岩, lava
枯叶堆, leaf_litter
讲台, lectern
拉杆, lever
光源方块（0）, light_block_0
光源方块（1）, light_block_1
光源方块（10）, light_block_10
光源方块（11）, light_block_11
光源方块（12）, light_block_12
光源方块（13）, light_block_13
光源方块（14）, light_block_14
光源方块（15）, light_block_15
光源方块（2）, light_block_2
光源方块（3）, light_block_3
光源方块（4）, light_block_4
光源方块（5）, light_block_5
光源方块（6）, light_block_6
光源方块（7）, light_block_7
光源方块（8）, light_block_8
光源方块（9）, light_block_9
淡蓝色蜡烛, light_blue_candle
插上淡蓝色蜡烛的蛋糕, light_blue_candle_cake
淡蓝色地毯, light_blue_carpet
淡蓝色混凝土, light_blue_concrete
淡蓝色混凝土粉末, light_blue_concrete_powder
淡蓝色带釉陶瓦, light_blue_glazed_terracotta
淡蓝色潜影盒, light_blue_shulker_box
淡蓝色染色玻璃, light_blue_stained_glass
淡蓝色染色玻璃板, light_blue_stained_glass_pane
淡蓝色陶瓦, light_blue_terracotta
淡蓝色羊毛, light_blue_wool
淡灰色蜡烛, light_gray_candle
插上淡灰色蜡烛的蛋糕, light_gray_candle_cake
淡灰色地毯, light_gray_carpet
淡灰色混凝土, light_gray_concrete
淡灰色混凝土粉末, light_gray_concrete_powder
淡灰色潜影盒, light_gray_shulker_box
淡灰色染色玻璃, light_gray_stained_glass
淡灰色染色玻璃板, light_gray_stained_glass_pane
淡灰色陶瓦, light_gray_terracotta
淡灰色羊毛, light_gray_wool
轻质测重压力板, light_weighted_pressure_plate
避雷针, lightning_rod
丁香, lilac
铃兰, lily_of_the_valley
黄绿色蜡烛, lime_candle
插上黄绿色蜡烛的蛋糕, lime_candle_cake
黄绿色地毯, lime_carpet
黄绿色混凝土, lime_concrete
黄绿色混凝土粉末, lime_concrete_powder
黄绿色带釉陶瓦, lime_glazed_terracotta
黄绿色潜影盒, lime_shulker_box
黄绿色染色玻璃, lime_stained_glass
黄绿色染色玻璃板, lime_stained_glass_pane
黄绿色陶瓦, lime_terracotta
黄绿色羊毛, lime_wool
燃烧中的高炉, lit_blast_furnace
点亮的深层红石矿石, lit_deepslate_redstone_ore
燃烧中的熔炉, lit_furnace
南瓜灯, lit_pumpkin
点亮的红石灯, lit_redstone_lamp
点亮的红石矿石, lit_redstone_ore
燃烧中的烟熏炉, lit_smoker
磁石, lodestone
织布机, loom
品红色蜡烛, magenta_candle
插上品红色蜡烛的蛋糕, magenta_candle_cake
品红色地毯, magenta_carpet
品红色混凝土, magenta_concrete
品红色混凝土粉末, magenta_concrete_powder
品红色带釉陶瓦, magenta_glazed_terracotta
品红色潜影盒, magenta_shulker_box
品红色染色玻璃, magenta_stained_glass
品红色染色玻璃板, magenta_stained_glass_pane
品红色陶瓦, magenta_terracotta
品红色羊毛, magenta_wool
岩浆块, magma
红树木按钮, mangrove_button
红树木门, mangrove_door
红树木双层台阶, mangrove_double_slab
红树木栅栏, mangrove_fence
红树木栅栏门, mangrove_fence_gate
悬挂式红树木告示牌, mangrove_hanging_sign
红树树叶, mangrove_leaves
红树原木, mangrove_log
红树木板, mangrove_planks
红树木压力板, mangrove_pressure_plate
红树胎生苗, mangrove_propagule
红树根, mangrove_roots
红树木展示架, mangrove_shelf
红树木台阶, mangrove_slab
红树木楼梯, mangrove_stairs
红树木告示牌, mangrove_standing_sign
红树木活板门, mangrove_trapdoor
墙上的红树木告示牌, mangrove_wall_sign
红树木, mangrove_wood
中型紫晶芽, medium_amethyst_bud
西瓜, melon_block
西瓜茎, melon_stem
刷怪笼, mob_spawner
苔藓块, moss_block
覆地苔藓, moss_carpet
苔石, mossy_cobblestone
苔石双层台阶, mossy_cobblestone_double_slab
苔石台阶, mossy_cobblestone_slab
苔石楼梯, mossy_cobblestone_stairs
苔石墙, mossy_cobblestone_wall
苔石砖双层台阶, mossy_stone_brick_double_slab
苔石砖台阶, mossy_stone_brick_slab
苔石砖楼梯, mossy_stone_brick_stairs
苔石砖墙, mossy_stone_brick_wall
苔石砖, mossy_stone_bricks
泥巴, mud
泥砖双层台阶, mud_brick_double_slab
泥砖台阶, mud_brick_slab
泥砖楼梯, mud_brick_stairs
泥砖墙, mud_brick_wall
泥砖, mud_bricks
沾泥的红树根, muddy_mangrove_roots
蘑菇柄, mushroom_stem
菌丝体, mycelium
下界砖块, nether_brick
下界砖双层台阶, nether_brick_double_slab
下界砖栅栏, nether_brick_fence
下界砖台阶, nether_brick_slab
下界砖楼梯, nether_brick_stairs
下界砖墙, nether_brick_wall
下界金矿石, nether_gold_ore
下界苗, nether_sprouts
下界疣, nether_wart
下界疣块, nether_wart_block
下界合金块, netherite_block
下界岩, netherrack
石头双层台阶, normal_stone_double_slab
石头台阶, normal_stone_slab
石头楼梯, normal_stone_stairs
音符盒, noteblock
橡木双层台阶, oak_double_slab
橡木栅栏, oak_fence
悬挂式橡木告示牌, oak_hanging_sign
橡树树叶, oak_leaves
橡木原木, oak_log
橡木木板, oak_planks
橡树树苗, oak_sapling
橡木展示架, oak_shelf
橡木台阶, oak_slab
橡木楼梯, oak_stairs
橡木, oak_wood
侦测器, observer
黑曜石, obsidian
赭黄蛙明灯, ochre_froglight
张开的眼眸花, open_eyeblossom
橙色蜡烛, orange_candle
插上橙色蜡烛的蛋糕, orange_candle_cake
橙色地毯, orange_carpet
橙色混凝土, orange_concrete
橙色混凝土粉末, orange_concrete_powder
橙色带釉陶瓦, orange_glazed_terracotta
橙色潜影盒, orange_shulker_box
橙色染色玻璃, orange_stained_glass
橙色染色玻璃板, orange_stained_glass_pane
橙色陶瓦, orange_terracotta
橙色郁金香, orange_tulip
橙色羊毛, orange_wool
滨菊, oxeye_daisy
氧化的雕纹铜块, oxidized_chiseled_copper
氧化的铜块, oxidized_copper
氧化的铜栏杆, oxidized_copper_bars
氧化的铜灯, oxidized_copper_bulb
氧化的铜链, oxidized_copper_chain
氧化的铜箱子, oxidized_copper_chest
氧化的铜门, oxidized_copper_door
氧化的铜傀儡像, oxidized_copper_golem_statue
氧化的铜格栅, oxidized_copper_grate
氧化的铜灯笼, oxidized_copper_lantern
氧化的铜活板门, oxidized_copper_trapdoor
氧化的切制铜块, oxidized_cut_copper
氧化的切制铜台阶, oxidized_cut_copper_slab
氧化的切制铜楼梯, oxidized_cut_copper_stairs
氧化的切制铜双层台阶, oxidized_double_cut_copper_slab
氧化的避雷针, oxidized_lightning_rod
浮冰, packed_ice
泥坯, packed_mud
苍白垂须, pale_hanging_moss
苍白苔藓块, pale_moss_block
苍白覆地苔藓, pale_moss_carpet
苍白橡木按钮, pale_oak_button
苍白橡木门, pale_oak_door
苍白橡木双层台阶, pale_oak_double_slab
苍白橡木栅栏, pale_oak_fence
苍白橡木栅栏门, pale_oak_fence_gate
悬挂式苍白橡木告示牌, pale_oak_hanging_sign
苍白橡树树叶, pale_oak_leaves
苍白橡木原木, pale_oak_log
苍白橡木木板, pale_oak_planks
苍白橡木压力板, pale_oak_pressure_plate
苍白橡树树苗, pale_oak_sapling
苍白橡木展示架, pale_oak_shelf
苍白橡木台阶, pale_oak_slab
苍白橡木楼梯, pale_oak_stairs
苍白橡木告示牌, pale_oak_standing_sign
苍白橡木活板门, pale_oak_trapdoor
墙上的苍白橡木告示牌, pale_oak_wall_sign
苍白橡木, pale_oak_wood
珠光蛙明灯, pearlescent_froglight
牡丹, peony
石化橡木双层台阶, petrified_oak_double_slab
石化橡木台阶, petrified_oak_slab
猪灵的头, piglin_head
粉红色蜡烛, pink_candle
插上粉红色蜡烛的蛋糕, pink_candle_cake
粉红色地毯, pink_carpet
粉红色混凝土, pink_concrete
粉红色混凝土粉末, pink_concrete_powder
粉红色带釉陶瓦, pink_glazed_terracotta
粉红色花簇, pink_petals
粉红色潜影盒, pink_shulker_box
粉红色染色玻璃, pink_stained_glass
粉红色染色玻璃板, pink_stained_glass_pane
粉红色陶瓦, pink_terracotta
粉红色郁金香, pink_tulip
粉红色羊毛, pink_wool
活塞, piston
活塞头, piston_arm_collision
瓶子草植株, pitcher_crop
瓶子草, pitcher_plant
玩家的头, player_head
灰化土, podzol
滴水石锥, pointed_dripstone
磨制安山岩, polished_andesite
磨制安山岩双层台阶, polished_andesite_double_slab
磨制安山岩台阶, polished_andesite_slab
磨制安山岩楼梯, polished_andesite_stairs
磨制玄武岩, polished_basalt
磨制黑石, polished_blackstone
磨制黑石砖双层台阶, polished_blackstone_brick_double_slab
磨制黑石砖台阶, polished_blackstone_brick_slab
磨制黑石砖楼梯, polished_blackstone_brick_stairs
磨制黑石砖墙, polished_blackstone_brick_wall
磨制黑石砖, polished_blackstone_bricks
磨制黑石按钮, polished_blackstone_button
磨制黑石双层台阶, polished_blackstone_double_slab
磨制黑石压力板, polished_blackstone_pressure_plate
磨制黑石台阶, polished_blackstone_slab
磨制黑石楼梯, polished_blackstone_stairs
磨制黑石墙, polished_blackstone_wall
磨制深板岩, polished_deepslate
磨制深板岩双层台阶, polished_deepslate_double_slab
磨制深板岩台阶, polished_deepslate_slab
磨制深板岩楼梯, polished_deepslate_stairs
磨制深板岩墙, polished_deepslate_wall
磨制闪长岩, polished_diorite
磨制闪长岩双层台阶, polished_diorite_double_slab
磨制闪长岩台阶, polished_diorite_slab
磨制闪长岩楼梯, polished_diorite_stairs
磨制花岗岩, polished_granite
磨制花岗岩双层台阶, polished_granite_double_slab
磨制花岗岩台阶, polished_granite_slab
磨制花岗岩楼梯, polished_granite_stairs
磨制凝灰岩, polished_tuff
磨制凝灰岩双层台阶, polished_tuff_double_slab
磨制凝灰岩台阶, polished_tuff_slab
磨制凝灰岩楼梯, polished_tuff_stairs
磨制凝灰岩墙, polished_tuff_wall
虞美人, poppy
下界传送门, portal
马铃薯, potatoes
细雪, powder_snow
激活的红石比较器, powered_comparator
激活的红石中继器, powered_repeater
海晶石, prismarine
海晶石砖双层台阶, prismarine_brick_double_slab
海晶石砖台阶, prismarine_brick_slab
海晶石砖, prismarine_bricks
海晶石砖楼梯, prismarine_bricks_stairs
海晶石双层台阶, prismarine_double_slab
海晶石台阶, prismarine_slab
海晶石楼梯, prismarine_stairs
海晶石墙, prismarine_wall
南瓜, pumpkin
南瓜茎, pumpkin_stem
紫色蜡烛, purple_candle
插上紫色蜡烛的蛋糕, purple_candle_cake
紫色地毯, purple_carpet
紫色混凝土, purple_concrete
紫色混凝土粉末, purple_concrete_powder
紫色带釉陶瓦, purple_glazed_terracotta
紫色潜影盒, purple_shulker_box
紫色染色玻璃, purple_stained_glass
紫色染色玻璃板, purple_stained_glass_pane
紫色陶瓦, purple_terracotta
紫色羊毛, purple_wool
紫珀块, purpur_block
紫珀双层台阶, purpur_double_slab
紫珀柱, purpur_pillar
紫珀台阶, purpur_slab
紫珀楼梯, purpur_stairs
石英块, quartz_block
石英砖, quartz_bricks
石英双层台阶, quartz_double_slab
下界石英矿石, quartz_ore
石英柱, quartz_pillar
石英台阶, quartz_slab
石英楼梯, quartz_stairs
铁轨, rail
粗铜块, raw_copper_block
粗金块, raw_gold_block
粗铁块, raw_iron_block
红色蜡烛, red_candle
