金合欢木船, acacia_boat
附魔书, enchanted_book
附魔金苹果, enchanted_golden_apple
附魔台, enchanting_table
末地石砖楼梯, end_brick_stairs
末地石砖, end_bricks
末地水晶, end_crystal
末地传送门框架, end_portal_frame
末地烛, end_rod
末地石, end_stone
末地石砖台阶, end_stone_brick_slab
末地石砖墙, end_stone_brick_wall
末影箱, ender_chest
末影龙刷怪蛋, ender_dragon_spawn_egg
末影之眼, ender_eye
末影珍珠, ender_pearl
末影人刷怪蛋, enderman_spawn_egg
末影螨刷怪蛋, endermite_spawn_egg
唤魔者刷怪蛋, evoker_spawn_egg
附魔之瓶, experience_bottle
探险纹样陶片, explorer_pottery_sherd
斑驳的雕纹铜块, exposed_chiseled_copper
斑驳的铜块, exposed_copper
斑驳的铜栏杆, exposed_copper_bars
斑驳的铜灯, exposed_copper_bulb
斑驳的铜链, exposed_copper_chain
斑驳的铜箱子, exposed_copper_chest
斑驳的铜门, exposed_copper_door
斑驳的铜傀儡像, exposed_copper_golem_statue
斑驳的铜格栅, exposed_copper_grate
斑驳的铜灯笼, exposed_copper_lantern
斑驳的铜活板门, exposed_copper_trapdoor
斑驳的切制铜块, exposed_cut_copper
斑驳的切制铜台阶, exposed_cut_copper_slab
斑驳的切制铜楼梯, exposed_cut_copper_stairs
斑驳的避雷针, exposed_lightning_rod
眼眸盔甲纹饰 锻造模板, eye_armor_trim_smithing_template
耕地, farmland
羽毛, feather
橡木栅栏门, fence_gate
发酵蛛眼, fermented_spider_eye
蕨, fern
砖纹旗帜图案, field_masoned_banner_pattern
地图, filled_map
火焰弹, fire_charge
火珊瑚, fire_coral
火珊瑚块, fire_coral_block
火珊瑚扇, fire_coral_fan
萤火虫灌木丛, firefly_bush
烟花火箭, firework_rocket
烟火之星, firework_star
钓鱼竿, fishing_rod
制箭台, fletching_table
燧石, flint
打火石, flint_and_steel
涡流盔甲纹饰 锻造模板, flow_armor_trim_smithing_template
涡流旗帜图案, flow_banner_pattern
涡流纹样陶片, flow_pottery_sherd
花朵盾徽旗帜图案, flower_banner_pattern
花盆, flower_pot
盛开的杜鹃花丛, flowering_azalea
狐狸刷怪蛋, fox_spawn_egg
物品展示框, frame
挚友纹样陶片, friend_pottery_sherd
青蛙卵, frog_spawn
青蛙刷怪蛋, frog_spawn_egg
霜冰, frosted_ice
熔炉, furnace
恶魂刷怪蛋, ghast_spawn_egg
恶魂之泪, ghast_tear
镶金黑石, gilded_blackstone
玻璃, glass
玻璃瓶, glass_bottle
玻璃板, glass_pane
闪烁的西瓜片, glistering_melon_slice
地球旗帜图案, globe_banner_pattern
发光浆果, glow_berries
荧光物品展示框, glow_frame
荧光墨囊, glow_ink_sac
发光地衣, glow_lichen
发光鱿鱼刷怪蛋, glow_squid_spawn_egg
荧石, glowstone
荧石粉, glowstone_dust
山羊角, goat_horn
山羊刷怪蛋, goat_spawn_egg
金块, gold_block
金锭, gold_ingot
金粒, gold_nugget
金矿石, gold_ore
金苹果, golden_apple
金斧, golden_axe
金靴子, golden_boots
金胡萝卜, golden_carrot
金胸甲, golden_chestplate
金头盔, golden_helmet
金锄, golden_hoe
金马铠, golden_horse_armor
金护腿, golden_leggings
金鹦鹉螺铠, golden_nautilus_armor
金镐, golden_pickaxe
动力铁轨, golden_rail
金锹, golden_shovel
金矛, golden_spear
金剑, golden_sword
花岗岩, granite
花岗岩台阶, granite_slab
花岗岩楼梯, granite_stairs
花岗岩墙, granite_wall
草方块, grass_block
土径, grass_path
沙砾, gravel
灰色收纳袋, gray_bundle
灰色蜡烛, gray_candle
灰色地毯, gray_carpet
灰色混凝土, gray_concrete
灰色混凝土粉末, gray_concrete_powder
灰色染料, gray_dye
灰色带釉陶瓦, gray_glazed_terracotta
灰色挽具, gray_harness
灰色潜影盒, gray_shulker_box
灰色染色玻璃, gray_stained_glass
灰色染色玻璃板, gray_stained_glass_pane
灰色陶瓦, gray_terracotta
灰色羊毛, gray_wool
绿色收纳袋, green_bundle
绿色蜡烛, green_candle
绿色地毯, green_carpet
绿色混凝土, green_concrete
绿色混凝土粉末, green_concrete_powder
绿色染料, green_dye
绿色带釉陶瓦, green_glazed_terracotta
绿色挽具, green_harness
绿色潜影盒, green_shulker_box
绿色染色玻璃, green_stained_glass
绿色染色玻璃板, green_stained_glass_pane
绿色陶瓦, green_terracotta
绿色羊毛, green_wool
砂轮, grindstone
守卫者刷怪蛋, guardian_spawn_egg
火药, gunpowder
旋风旗帜图案, guster_banner_pattern
旋风纹样陶片, guster_pottery_sherd
垂根, hanging_roots
快乐恶魂刷怪蛋, happy_ghast_spawn_egg
陶瓦, hardened_clay
干草捆, hay_block
海洋之心, heart_of_the_sea
爱心纹样陶片, heart_pottery_sherd
心碎纹样陶片, heartbreak_pottery_sherd
沉重核心, heavy_core
重质测重压力板, heavy_weighted_pressure_plate
疣猪兽刷怪蛋, hoglin_spawn_egg
蜂蜜块, honey_block
蜂蜜瓶, honey_bottle
蜜脾, honeycomb
蜜脾块, honeycomb_block
漏斗, hopper
漏斗矿车, hopper_minecart
鹿角珊瑚, horn_coral
鹿角珊瑚块, horn_coral_block
鹿角珊瑚扇, horn_coral_fan
马刷怪蛋, horse_spawn_egg
雇主盔甲纹饰 锻造模板, host_armor_trim_smithing_template
狼嚎纹样陶片, howl_pottery_sherd
尸壳刷怪蛋, husk_spawn_egg
冰, ice
虫蚀雕纹石砖, infested_chiseled_stone_bricks
虫蚀圆石, infested_cobblestone
虫蚀裂纹石砖, infested_cracked_stone_bricks
虫蚀深板岩, infested_deepslate
虫蚀苔石砖, infested_mossy_stone_bricks
虫蚀石头, infested_stone
虫蚀石砖, infested_stone_bricks
墨囊, ink_sac
铁斧, iron_axe
铁栏杆, iron_bars
铁块, iron_block
铁靴子, iron_boots
铁链, iron_chain
铁胸甲, iron_chestplate
铁门, iron_door
铁傀儡刷怪蛋, iron_golem_spawn_egg
铁头盔, iron_helmet
铁锄, iron_hoe
铁马铠, iron_horse_armor
铁锭, iron_ingot
铁护腿, iron_leggings
铁鹦鹉螺铠, iron_nautilus_armor
铁粒, iron_nugget
铁矿石, iron_ore
铁镐, iron_pickaxe
铁锹, iron_shovel
铁矛, iron_spear
铁剑, iron_sword
铁活板门, iron_trapdoor
拼图方块, jigsaw
唱片机, jukebox
丛林木船, jungle_boat
丛林木按钮, jungle_button
丛林木运输船, jungle_chest_boat
丛林木门, jungle_door
丛林木栅栏, jungle_fence
丛林木栅栏门, jungle_fence_gate
悬挂式丛林木告示牌, jungle_hanging_sign
丛林树叶, jungle_leaves
丛林原木, jungle_log
丛林木板, jungle_planks
丛林木压力板, jungle_pressure_plate
丛林树苗, jungle_sapling
丛林木展示架, jungle_shelf
丛林木告示牌, jungle_sign
丛林木台阶, jungle_slab
丛林木楼梯, jungle_stairs
丛林木活板门, jungle_trapdoor
丛林木, jungle_wood
海带, kelp
梯子, ladder
灯笼, lantern
青金石块, lapis_block
青金石, lapis_lazuli
青金石矿石, lapis_ore
大型紫晶芽, large_amethyst_bud
大型蕨, large_fern
熔岩桶, lava_bucket
拴绳, lead
枯叶堆, leaf_litter
皮革, leather
皮革靴子, leather_boots
皮革外套, leather_chestplate
皮革帽子, leather_helmet
皮革马铠, leather_horse_armor
皮革裤子, leather_leggings
讲台, lectern
拉杆, lever
光源方块（0）, light_block_0
光源方块（1）, light_block_1
光源方块（10）, light_block_10
光源方块（11）, light_block_11
光源方块（12）, light_block_12
光源方块（13）, light_block_13
光源方块（14）, light_block_14
光源方块（15）, light_block_15
光源方块（2）, light_block_2
光源方块（3）, light_block_3
光源方块（4）, light_block_4
光源方块（5）, light_block_5
光源方块（6）, light_block_6
光源方块（7）, light_block_7
光源方块（8）, light_block_8
光源方块（9）, light_block_9
淡蓝色收纳袋, light_blue_bundle
淡蓝色蜡烛, light_blue_candle
淡蓝色地毯, light_blue_carpet
淡蓝色混凝土, light_blue_concrete
淡蓝色混凝土粉末, light_blue_concrete_powder
淡蓝色染料, light_blue_dye
淡蓝色带釉陶瓦, light_blue_glazed_terracotta
淡蓝色挽具, light_blue_harness
淡蓝色潜影盒, light_blue_shulker_box
淡蓝色染色玻璃, light_blue_stained_glass
淡蓝色染色玻璃板, light_blue_stained_glass_pane
淡蓝色陶瓦, light_blue_terracotta
淡蓝色羊毛, light_blue_wool
淡灰色收纳袋, light_gray_bundle
淡灰色蜡烛, light_gray_candle
淡灰色地毯, light_gray_carpet
淡灰色混凝土, light_gray_concrete
淡灰色混凝土粉末, light_gray_concrete_powder
淡灰色染料, light_gray_dye
淡灰色挽具, light_gray_harness
淡灰色潜影盒, light_gray_shulker_box
淡灰色染色玻璃, light_gray_stained_glass
淡灰色染色玻璃板, light_gray_stained_glass_pane
淡灰色陶瓦, light_gray_terracotta
淡灰色羊毛, light_gray_wool
轻质测重压力板, light_weighted_pressure_plate
避雷针, lightning_rod
丁香, lilac
铃兰, lily_of_the_valley
黄绿色收纳袋, lime_bundle
黄绿色蜡烛, lime_candle
黄绿色地毯, lime_carpet
黄绿色混凝土, lime_concrete
黄绿色混凝土粉末, lime_concrete_powder
黄绿色染料, lime_dye
黄绿色带釉陶瓦, lime_glazed_terracotta
黄绿色挽具, lime_harness
黄绿色潜影盒, lime_shulker_box
黄绿色染色玻璃, lime_stained_glass
黄绿色染色玻璃板, lime_stained_glass_pane
黄绿色陶瓦, lime_terracotta
黄绿色羊毛, lime_wool
滞留药水, lingering_potion
南瓜灯, lit_pumpkin
羊驼刷怪蛋, llama_spawn_egg
磁石, lodestone
磁石指针, lodestone_compass
织布机, loom
重锤, mace
品红色收纳袋, magenta_bundle
品红色蜡烛, magenta_candle
品红色地毯, magenta_carpet
品红色混凝土, magenta_concrete
品红色混凝土粉末, magenta_concrete_powder
品红色染料, magenta_dye
品红色带釉陶瓦, magenta_glazed_terracotta
品红色挽具, magenta_harness
品红色潜影盒, magenta_shulker_box
品红色染色玻璃, magenta_stained_glass
品红色染色玻璃板, magenta_stained_glass_pane
品红色陶瓦, magenta_terracotta
品红色羊毛, magenta_wool
岩浆块, magma
岩浆膏, magma_cream
岩浆怪刷怪蛋, magma_cube_spawn_egg
红树木船, mangrove_boat
红树木按钮, mangrove_button
红树木运输船, mangrove_chest_boat
红树木门, mangrove_door
红树木栅栏, mangrove_fence
红树木栅栏门, mangrove_fence_gate
悬挂式红树木告示牌, mangrove_hanging_sign
红树树叶, mangrove_leaves
红树原木, mangrove_log
红树木板, mangrove_planks
红树木压力板, mangrove_pressure_plate
红树胎生苗, mangrove_propagule
红树根, mangrove_roots
红树木展示架, mangrove_shelf
红树木告示牌, mangrove_sign
红树木台阶, mangrove_slab
红树木楼梯, mangrove_stairs
红树木活板门, mangrove_trapdoor
红树木, mangrove_wood
中型紫晶芽, medium_amethyst_bud
西瓜, melon_block
西瓜种子, melon_seeds
西瓜片, melon_slice
奶桶, milk_bucket
矿车, minecart
采矿纹样陶片, miner_pottery_sherd
刷怪笼, mob_spawner
Mojang徽标旗帜图案, mojang_banner_pattern
哞菇刷怪蛋, mooshroom_spawn_egg
苔藓块, moss_block
覆地苔藓, moss_carpet
苔石, mossy_cobblestone
苔石台阶, mossy_cobblestone_slab
苔石楼梯, mossy_cobblestone_stairs
苔石墙, mossy_cobblestone_wall
苔石砖台阶, mossy_stone_brick_slab
苔石砖楼梯, mossy_stone_brick_stairs
苔石砖墙, mossy_stone_brick_wall
苔石砖, mossy_stone_bricks
悲恸纹样陶片, mourner_pottery_sherd
泥巴, mud
泥砖台阶, mud_brick_slab
泥砖楼梯, mud_brick_stairs
泥砖墙, mud_brick_wall
泥砖, mud_bricks
沾泥的红树根, muddy_mangrove_roots
骡刷怪蛋, mule_spawn_egg
蘑菇柄, mushroom_stem
蘑菇煲, mushroom_stew
音乐唱片 C418 - 11, music_disc_11
音乐唱片 C418 - 13, music_disc_13
音乐唱片 Samuel Åberg - 5, music_disc_5
音乐唱片 C418 - blocks, music_disc_blocks
音乐唱片 C418 - cat, music_disc_cat
音乐唱片 C418 - chirp, music_disc_chirp
音乐唱片 Lena Raine - Creator, music_disc_creator
音乐唱片 Lena Raine - Creator（八音盒）, music_disc_creator_music_box
音乐唱片 C418 - far, music_disc_far
音乐唱片 Hyper Potions - Lava Chicken, music_disc_lava_chicken
音乐唱片 C418 - mall, music_disc_mall
音乐唱片 C418 - mellohi, music_disc_mellohi
音乐唱片 Lena Raine - otherside, music_disc_otherside
音乐唱片 Lena Raine - Pigstep, music_disc_pigstep
音乐唱片 Aaron Cherof - Precipice, music_disc_precipice
音乐唱片 Aaron Cherof - Relic, music_disc_relic
音乐唱片 C418 - stal, music_disc_stal
音乐唱片 C418 - strad, music_disc_strad
音乐唱片 Amos Roddy - Tears, music_disc_tears
音乐唱片 C418 - wait, music_disc_wait
音乐唱片 C418 - ward, music_disc_ward
生羊肉, mutton
菌丝体, mycelium
命名牌, name_tag
鹦鹉螺壳, nautilus_shell
